Problem ID,Function ID,Instance ID,Algorithm,Best Solution (X),Best Function Value (F)
bbob_f001_i01_d20,1,1,PSO,"[0.25271295628667456, -1.1567240917649382, -0.7236262644417272, 1.9263387491988226, -2.680906780969684, 0.4393315551254964, -0.1170231587341261, 0.12013827403676378, -1.6378142870675134, -3.0512803242324815, -3.853609875416158, 2.0163494283863086, 1.0860981795008555, -0.08652489387621626, 3.64695293844762, 2.908510863540659, -0.12495415218306585, -3.9278305690608466, 2.3624174548754797, 1.3583322512014846]",79.48000073766342
bbob_f001_i01_d20,1,1,CMAES,"[0.2527999722638068, -1.1567999681501844, -0.7240001073935662, 1.9263999967114653, -2.680800033196497, 0.43920003806716323, -0.11679994555295714, 0.1199999791671571, -1.6376000471369938, -3.0511999958077323, -3.8536000273843296, 2.016000034652828, 1.0864000301490293, -0.08639998042009278, 3.6471999952041365, 2.908799959628068, -0.12480002964698844, -3.9280000515616855, 2.362400015029089, 1.358400031080902]",79.48000000000003
bbob_f001_i01_d20,1,1,DE,"[0.23997986691433615, -1.173100748697348, -0.7351734464106203, 1.8940823748565043, -2.676189098782377, 0.3978077989161481, -0.13923284551116505, 0.10055015455481846, -1.629852841679251, -3.049108994141062, -3.8680955070560232, 1.9872382591490907, 1.0840942549603425, -0.10101681877502226, 3.6003499671634813, 2.8591511889934322, -0.08804018485748291, -3.928447794905555, 2.373739051561044, 1.397500691872278]",79.49320501760258
bbob_f001_i01_d20,1,1,L-BFGS-B,"[0.25280004924197097, -1.156800450762462, -0.7239995485508488, 1.926399183940111, -2.680800523090909, 0.439199522864144, -0.11680086269536119, 0.1200000351364035, -1.6376006347359857, -3.0512001967348157, -3.853600425206808, 2.015999273336908, 1.086399060490759, -0.08640024325593562, 3.647199354398904, 2.9087992553273514, -0.12480064667335565, -3.927999750734042, 2.362399628097087, 1.3583998614450736]",79.48000000000603
bbob_f001_i01_d20,1,1,BIPOP-CMAES,"[0.2527999680449557, -1.1567999946809069, -0.7239999770674931, 1.9264000481955355, -2.680799992860043, 0.43919997523650856, -0.11680007443199124, 0.11999999740655903, -1.6375999722237633, -3.0512000105276185, -3.8536000180576853, 2.0160000221525594, 1.0864000349934184, -0.08640001381488766, 3.6472000299109406, 2.9087999533650724, -0.12479997959388414, -3.928000020540038, 2.3624000164750774, 1.3584000168330632]",79.48000000000002
bbob_f001_i02_d20,1,2,PSO,"[-3.89832515494534, -2.8902927837728036, -3.802301868757511, 3.905183097650014, 0.8591435484787684, -2.9048826620087684, 3.4449495484367505, -0.5996298709153753, -0.8823913173123674, -3.735315792294338, 1.9095049163400233, 1.2702796018065368, 1.5710032352485808, 3.7712741464329746, -3.8160726311703264, 2.9594941611055554, -2.8972777011026287, -1.3928894272039158, 0.10407936958304145, 1.2824470867937539]",394.4800008326872
bbob_f001_i02_d20,1,2,CMAES,"[-3.8983999597287182, -2.8904000070074662, -3.802399898700179, 3.9055999439825335, 0.8591999304900249, -2.904800096182368, 3.4448000195315984, -0.6000000200182249, -0.8824000937186547, -3.735200061273177, 1.9095999562874582, 1.2703999726745119, 1.5712000209854775, 3.7711999383280297, -3.815999957931092, 2.9600000565179148, -2.8976001397373103, -1.3928000622232464, 0.10399996225972252, 1.2823999752347506]",394.4800000000001
bbob_f001_i02_d20,1,2,DE,"[-3.859203942558583, -2.911970368781181, -3.785156485256536, 3.907778597570851, 0.9249831062032938, -2.968573004775609, 3.4531832463118013, -0.5907655819803543, -0.9330565057351055, -3.72508645361079, 1.9319352300987493, 1.2374615714312716, 1.5778912489541388, 3.7707210801527307, -3.8421153040133307, 2.9616934100218613, -2.8639016951479883, -1.3929690149482996, 0.1084342822950896, 1.2627530582642201]",394.4973769796982
bbob_f001_i02_d20,1,2,L-BFGS-B,"[-3.898399098777581, -2.8903995456009395, -3.802398944324467, 3.9056008270106655, 0.8591999963298114, -2.9048010324141975, 3.444801131592307, -0.5999989538150396, -0.882399288158169, -3.735200133918587, 1.9096011176953516, 1.2704006664965228, 1.5712000936256572, 3.771200838170529, -3.8159999814031504, 2.9600001863678407, -2.8976012017626984, -1.3928008641009932, 0.10400062520323945, 1.2824002190478931]",394.4800000000119
bbob_f001_i02_d20,1,2,BIPOP-CMAES,"[-3.898400061917614, -2.890400098735006, -3.8024000408134926, 3.9055999419162437, 0.8592000102678772, -2.9048000366781084, 3.4447998567126374, -0.6000000133163459, -0.8823999777981257, -3.7351999880409767, 1.9095998952051898, 1.2703999694035524, 1.571200001214478, 3.7712000079253265, -3.8159999955620263, 2.9600000714242425, -2.8975999752667736, -1.3927999233515316, 0.10399994240199838, 1.2823999831158328]",394.4800000000001
bbob_f001_i03_d20,1,3,PSO,"[-3.798451606870521, 0.20345629608260016, -0.690832168856531, -3.6910779173783603, -3.099087959105553, 2.3169321744244424, 3.2207898718968937, -3.9167203297289945, -0.07148324138924964, 2.8220538894664826, 2.3305904641780573, 1.3852588985998602, 2.823145845347142, 0.87876975985322, 3.9736906459941506, 0.5709921596012449, 2.9438648872080284, -0.15952696109344486, 2.228045137496609, 0.28382030902329847]",-247.10999695503153
bbob_f001_i03_d20,1,3,CMAES,"[-3.7984000183120563, 0.20320005138529407, -0.6912000485507894, -3.6912000249166903, -3.099199985341788, 2.316799932141043, 3.2199999289849632, -3.915999979043559, -0.0712000462798601, 2.822399979327593, 2.3303999741757675, 1.3848000032458891, 2.8231999886099253, 0.8784000053048473, 3.9735999246934846, 0.5712000300977529, 2.9447999649080536, -0.15920003490314905, 2.227999922883882, 0.2839999527171173]",-247.10999999999999
bbob_f001_i03_d20,1,3,DE,"[-3.835468469601707, 0.19934854936870616, -0.703912117688921, -3.7241514487034184, -3.0874122897146545, 2.3134058314398356, 3.2609395218654162, -3.9129144899926724, -0.050675690510907714, 2.8212216445171396, 2.312140024530617, 1.3821316413219091, 2.8088167589541793, 0.8832988130184953, 3.971623018003524, 0.5568946068835143, 2.9343745658990557, -0.17121766969287572, 2.224760746021004, 0.29693934481303885]",-247.10389401882767
